topic,length,AI_model,humanizer,copyleaks_AI,copyleaks_humanized,zerogpt_AI,zerogpt_humanized,sapling_AI,sapling_humanized
1,1,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.99765834859248,99.99535146746919
1,1,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.98557865633431,99.9615152618516
1,2,gemini2.5pro,AIHumanizer,100.0,100.0,79.21,100.0,99.98025005442368,98.53189682112968
1,2,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.98737326935463,99.9956904521845
1,3,gemini2.5pro,AIHumanizer,100.0,100.0,72.07,92.24,79.53530766557417,99.99037215871009
1,3,gpt4.0,AIHumanizer,100.0,100.0,99.99,100.0,99.9904414184458,99.93582637183313
2,1,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.9973562392362,99.9642418815045
2,1,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.99844966571072,99.99788667655352
2,2,gemini2.5pro,AIHumanizer,100.0,100.0,96.16,100.0,99.99857725170408,99.99791087217385
2,2,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.99650630196363,99.92898602402252
2,3,gemini2.5pro,AIHumanizer,100.0,100.0,99.99,100.0,99.99668588068631,99.97210433483392
2,3,gpt4.0,AIHumanizer,100.0,100.0,98.61,100.0,99.9929519121748,99.96935021879656
3,1,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.19628449547608,99.60883014846851
3,1,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.98488427480298,99.9952445887205
3,2,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.98488427480298,99.99333315093722
3,2,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.9911985634818,99.99423716415367
3,3,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.99599095505688,99.97356741602266
3,3,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.971793345547,99.99765386615648
4,1,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.99609927938964,99.99572936866421
4,1,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.98608536797998,99.98731248129133
4,2,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.98305876622102,99.97040190889916
4,2,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.6420605306193,99.99261788512388
4,3,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.98822904021146,99.84606800728713
4,3,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.97706111827877,99.95690610758487
5,1,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,100.0,99.99863048208276,99.9988900256252
5,1,gpt4.0,AIHumanizer,100.0,100.0,100.0,100.0,99.94190801194038,99.99511635898469
5,2,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,98.73,99.7468373783196,99.9944799721072
5,2,gpt4.0,AIHumanizer,100.0,100.0,100.0,95.86,99.95398333608424,99.99853670412908
5,3,gemini2.5pro,AIHumanizer,100.0,100.0,100.0,95.64,99.99419169026767,99.98533196250091
5,3,gpt4.0,AIHumanizer,100.0,100.0,99.22,99.24,99.9877738829467,99.99693874545568
1,1,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.99765834859248,99.99612702410032
1,1,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.98557865633431,98.2801522256205
1,2,gemini2.5pro,Grammarly,100.0,100.0,79.21,100.0,99.98025005442368,99.09201218933732
1,2,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.98737326935463,99.99751407466344
1,3,gemini2.5pro,Grammarly,100.0,100.0,72.07,74.28,79.53530766557417,99.97339923901416
1,3,gpt4.0,Grammarly,100.0,100.0,99.99,100.0,99.9904414184458,99.98447016939409
2,1,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.9973562392362,99.99544162118605
2,1,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.99844966571072,99.99777484409717
2,2,gemini2.5pro,Grammarly,100.0,100.0,96.16,100.0,99.99857725170408,99.99701553163948
2,2,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.99650630196363,99.99743325130697
2,3,gemini2.5pro,Grammarly,100.0,100.0,99.99,92.35,99.99668588068631,99.9822674169614
2,3,gpt4.0,Grammarly,100.0,100.0,98.61,99.99,99.9929519121748,99.89364916510632
3,1,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.19628449547608,99.99499059979901
3,1,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.98488427480298,99.87940233824366
3,2,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.98488427480298,99.98734238456196
3,2,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.9911985634818,99.99548916338236
3,3,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.99599095505688,99.97518050344704
3,3,gpt4.0,Grammarly,100.0,100.0,100.0,99.99,99.971793345547,92.01450683761408
4,1,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.99609927938964,99.98677826371821
4,1,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.98608536797998,99.95719144195635
4,2,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.98305876622102,99.99769746484056
4,2,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.6420605306193,99.9928368401906
4,3,gemini2.5pro,Grammarly,100.0,100.0,100.0,99.99,99.98822904021146,99.9931942984605
4,3,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.97706111827877,99.86053899621452
5,1,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.99863048208276,99.9988860384974
5,1,gpt4.0,Grammarly,100.0,100.0,100.0,100.0,99.94190801194038,99.9789964571734
5,2,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.7468373783196,99.99818242525602
5,2,gpt4.0,Grammarly,100.0,100.0,100.0,95.51,99.95398333608424,99.99850166450216
5,3,gemini2.5pro,Grammarly,100.0,100.0,100.0,100.0,99.99419169026767,99.99786880943836
5,3,gpt4.0,Grammarly,100.0,100.0,99.22,99.99,99.9877738829467,99.97604905445202
1,1,gemini2.5pro,HumanizeAI,100.0,100.0,100.0,0.0,99.99765834859248,99.8439324694169
1,1,gpt4.0,HumanizeAI,100.0,0.0,100.0,6.59,99.98557865633431,99.11195370710143
1,2,gemini2.5pro,HumanizeAI,100.0,0.0,79.21,14.0,99.98025005442368,52.01017045635952
1,2,gpt4.0,HumanizeAI,100.0,100.0,100.0,24.22,99.98737326935463,95.09188118105004
1,3,gemini2.5pro,HumanizeAI,100.0,0.0,72.07,4.97,79.53530766557417,42.588412369348646
1,3,gpt4.0,HumanizeAI,100.0,0.0,99.99,39.99,99.9904414184458,65.01408816836364
2,1,gemini2.5pro,HumanizeAI,100.0,0.0,100.0,53.62,99.9973562392362,99.99171480730115
2,1,gpt4.0,HumanizeAI,100.0,0.0,100.0,27.7,99.99844966571072,99.17345463508013
2,2,gemini2.5pro,HumanizeAI,100.0,0.0,96.16,13.76,99.99857725170408,48.13409528883889
2,2,gpt4.0,HumanizeAI,100.0,0.0,100.0,47.34,99.99650630196363,96.35411930776301
2,3,gemini2.5pro,HumanizeAI,100.0,0.0,99.99,3.33,99.99668588068631,17.1288600437073
2,3,gpt4.0,HumanizeAI,100.0,0.0,98.61,22.07,99.9929519121748,61.112985108304585
3,1,gemini2.5pro,HumanizeAI,100.0,0.0,100.0,10.22,99.19628449547608,70.48574986485099
3,1,gpt4.0,HumanizeAI,100.0,0.0,100.0,62.9,99.98488427480298,99.9786694744713
3,2,gemini2.5pro,HumanizeAI,100.0,0.0,100.0,15.88,99.98488427480298,44.76446762234517
3,2,gpt4.0,HumanizeAI,100.0,0.0,100.0,24.06,99.9911985634818,77.76785418851463
3,3,gemini2.5pro,HumanizeAI,100.0,0.0,100.0,39.3,99.99599095505688,39.68061948966443
3,3,gpt4.0,HumanizeAI,100.0,64.4,100.0,34.91,99.971793345547,96.12150730603291
4,1,gemini2.5pro,HumanizeAI,100.0,100.0,100.0,15.86,99.99609927938964,70.76469351882278
4,1,gpt4.0,HumanizeAI,100.0,100.0,100.0,16.39,99.98608536797998,99.95702837353284
4,2,gemini2.5pro,HumanizeAI,100.0,100.0,100.0,30.46,99.98305876622102,97.904764620239
4,2,gpt4.0,HumanizeAI,100.0,100.0,100.0,26.68,99.6420605306193,75.12340133557245
